root;root;
fsSystem;fsSystem;
;fsWOpt;1
fsWOpt;weightOptimizationThreshold;
fsTCAlgo;fsTCAlgo;
fsTCint;fsTCint;
fsMAXPOWERTC;fsMAXPOWERTC;
fsDKTC;fsDKTC;
parameterDKTCK;parameterKtcK;
fsEKTC;fsEKTC;
parameterEKTCK;parameterEKtcK;
fsLSTARKTC;fsLSTARKTC;
parameterLSTARKTCK;parameterLStarKtcK;
parameterLSTARKTCA;parameterLStarKtcA;
;fsYao;0
;parameterYaoConeCount;0
fsLMST;fsLMST;
fsGMST;fsGMST;
;fsRNG;0
;fsGG;0
fcContext;fcContext;
;fcMobSpeed;1
fcMobSpeed;mobilitySpeed;
fcScenario;fcScenario;
fcPOINTTOPOINT;fcPOINTTOPOINT;
fcGOSSIP;fcGOSSIP;
fcDATACOLLECTION;fcDATACOLLECTION;
;fcTopology;1
fcTopologyDensity;topologyDensity;
fcNodeCount;nodeCount;
fcEdgeCount;edgeCount;
fcWorldSize;worldSize;
fcDatacollectionProbability;;
