meta-configNo;meta-seed;fs-TCAlgo;fs-TCParamK;fs-TCParamA;fs-WOpt;fs-TCint;fc-MobSpeed;fc-Scenario;fc-DatacollectionProbability;fc-WorldSize;fc-NodeCount;fc-EdgeCount;fc-TopologyDensity;m-EMean;m-EMedian;m-EStddev;m-EJain;m-DropRate;m-EndToEndDropRate;m-EndToEndLatency;m-TopologyStorageSpanner;m-TopologyDensitySpanner;m-HopSpannerMean;m-HopSpannerMax
4;4;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4158;83.2;47499132.10;17077650.25;74907063.43;0.29;0.7724;0.8747;11582.2397;1.00;1.00;1.00;1.00
1;1;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3926;78.5;46712634.26;13639987.35;74509001.43;0.28;0.7619;0.8814;11661.8300;1.00;1.00;1.00;1.00
2;2;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;44487621.23;12181060.86;81081123.37;0.23;0.6837;0.8250;11853.0808;1.00;1.00;1.00;1.00
3;3;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3930;78.6;44669999.38;13074639.02;78833881.81;0.24;0.6819;0.8402;12175.9580;1.00;1.00;1.00;1.00
5;5;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;44578663.58;12832689.98;79945470.99;0.24;0.6416;0.8097;12227.9884;1.00;1.00;1.00;1.00
6;1;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4054;81.1;47724791.55;38282862.81;69598325.02;0.32;0.8412;0.8923;10869.6646;1.00;1.00;1.00;1.00
8;3;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;3994;79.9;51299563.76;42437646.86;67333690.74;0.37;0.8759;0.9228;11008.1745;1.00;1.00;1.00;1.00
7;2;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4124;82.5;50445662.47;41932779.98;70266348.82;0.34;0.8786;0.9166;10919.4510;1.00;1.00;1.00;1.00
9;4;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4336;86.7;46692216.82;36927962.26;70016182.89;0.31;0.8245;0.8793;10847.6508;1.00;1.00;1.00;1.00
11;1;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4090;81.8;45287869.92;35019558.97;71024211.95;0.29;0.8057;0.8691;10885.7568;1.00;1.00;1.00;1.00
