root;fsSystem;fcContext;fcTopology;fcMobSpeed;fsGG;fsRNG;parameterYaoConeCount;fsYao;fsWOpt;fsTCAlgo;fsMAXPOWERTC;fsDKTC;fsEKTC;fsLMST;fsGMST;fsLSTARKTC;parameterKtcK;parameterEKtcK;parameterLStarKtcK;parameterLStarKtcA;weightOptimizationThreshold;fsTCint;mobilitySpeed;fcScenario;fcDATACOLLECTION;fcGOSSIP;fcPOINTTOPOINT;worldSize;nodeCount;edgeCount;topologyDensity;mEMean;mEMedian;mEStddev;mEJain;mDropRate;mEndToEndDropRate;mEndToEndLatency;mTopologyStorageSpanner;mTopologyDensitySpanner;mHopSpannerMean;mHopSpannerMax
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;4158;83;47499132;17077650;74907063;2;7724;8747;1158223;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;3926;78;46712634;13639987;74509001;2;7619;8814;1166183;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;4018;80;44487621;12181060;81081123;2;6837;8250;1185308;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;3930;78;44669999;13074639;78833881;2;6818;8402;1217595;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;4018;80;44578663;12832689;79945470;2;6415;8097;1222798;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4054;81;47724791;38282862;69598325;3;8412;8923;1086966;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;3994;79;51299563;42437646;67333690;3;8759;9228;1100817;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4124;82;50445662;41932779;70266348;3;8786;9166;1091945;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4336;86;46692216;36927962;70016182;3;8245;8793;1084765;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4090;81;45287869;35019558;71024211;2;8057;8691;1088575;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4252;85;47851180;37925787;71261213;3;8452;8934;1086496;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4096;81;50727983;41054204;69445683;3;8764;9208;1099458;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4204;84;47121140;36552335;67272449;3;8177;8926;1107508;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4040;80;46181375;35683525;71036035;3;8256;8790;1082602;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4116;82;50319282;41277340;69789551;3;8772;9199;1098429;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4470;89;47415971;37347489;70834528;3;8391;8903;1086223;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4168;83;49293778;40162833;65141616;3;8626;9206;1106194;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4164;83;49959381;40263443;66578105;3;8649;9207;1104866;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4390;87;45548728;34724215;72159180;2;8055;8694;1087683;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4702;94;45705620;34339511;70512409;3;8056;8778;1101414;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;15;1;1;0;0;300;100;4114;82;51519533;43131577;65047463;3;8774;9250;1100912;100;100;1;1
